St. Urban, Chlisonnhalde|St. Urban, Sonnhaldenhof|31
Hofen SH, Dorf|Hofen SH, Reiatschulhaus|28
Lugano, Via S. Balestra|Lugano, Molino Nuovo|102
Lugano, Via S. Balestra|Lugano, Cappuccine|135
Bex, gare|Bex, Domaine du Rhône|12
Trun, Flutginas|Trun, Via Casa S. Martin|13
Colla, Paese|Colla, Chiesa di Colla|31
Gattikon|Thalwil, Gattikerhöhe|30
Appenzell, Bahnhof|Schlatt (Schlatt-Haslen)|36
Pontresina|Punt Muragl Staz|35
Pontresina|Surovas|42
Appenzell, Bahnhof|Appenzell, Kau|37
Aquilesco (Ghirone)|Ghirone, Pian Geirett|4
Aquilesco (Ghirone)|Diga di Luzzone|3
Pontresina|Ospizio Bernina|2
Pontresina|Alp Grüm|1
Erde, Courtenaz|Erde, Motélon|4
Planalp|Brienzer Rothorn|22
Bumbach, Skilift|Schangnau, Leu|24
Gland, gare|Bursinel, village|5
Egerkingen, Zentrum|Egerkingen, Gäu Park|15
Hinterkappelen, Post|Kappelenring, Ost|34
Alvaneu Dorf, Post|Schmitten (Albula), Chappali|24
Le Châtelard-d'en-Haut, Laiter|Sorens, Camping|14
Vers-l'Eglise|Les Diablerets|34
Hausen am Albis, Post|Hausen am Albis, Bifang|84
Obbürgen, Moos|Obbürgen, Grabacher|35
S. Carlo (Poschiavo), Posta|Pozzolascio|1
Wernetshausen|Hinwil, Bahnhof|4
Sisikon SGV|Tellsplatte|22
Birr, Vorderdorf|Birr, Wyden|110
La Neuveville, poste|Le Landeron, gare|13
Sisikon SGV|Bauen SGV|1
Taufers/Tubre, Grenze|Taufers/Tubre, Dorf|14
Triesen, Säga|Balzers, Roxy|143
Lausanne, Place-de-l'Ours|Lausanne, La Sallaz|223
Buochs, Post|Buochs, Ausserdorf|90
Echandens, poste|Echandens, centre|32
Rotkreuz|Zug|40
Ruggell, Oberwiler|Ruggell, Sennerei|87
Feithieren, Ober|Feithieren, Unter|16
Pfäffikon ZH, Faichrüti|Pfäffikon ZH, Abzw. Rutschberg|56
Fontany|Vernamiège, bif.|20
Rotkreuz|Cham|2
Ponte Capriasca, Paese|Ponte Capriasca, Crano|44
Schlucht|Birgisch, Eiholz|35
Murten, Bernstrasse|Murten, Berntor|39
Wimmis|Spiez|20
Affeltrangen, Post|Lommis, Krattenbach|18
Peccia, Corgello|Peccia, Cambleo|12
Meyriez, Fin de Meyriez|Meyriez, Dorf|41
Zug|Mettmenstetten|2
Aetingen, Post|Kyburg Bad|32
Zug|Steinhausen|76
Vinadi|Martina, Acla da Fans|12
Chavannes-le-Chêne, Hôtel|Treytorrens (Payerne), croisée|8
St. Moritz, Schulhausplatz|St. Moritz, Somplaz|149
Grosshöchstetten|Biglen|87
